Player,GK,DR,DCR,DCL,DL,MCR,MC,MCL,FR,FC,FL
Oleguer,1.3,1.5,1.4,1.3,1.5,1.7,1.6,1.7,2,1.8,1.6
Vertonghen,1.4,55.2,101.8,92.6,74.1,73.8,54.6,70.5,3.2,4,3.5
Lindgren,1.3,2.1,2.1,2.1,2,3.1,2.5,2.5,3.4,3.2,2.5
Emanuelson,1.4,15,7.5,6,15,13.7,8.7,20.1,21.9,9.3,17.1
Vermeer,91.2,1.7,1.8,1.7,2.1,1.9,1.7,2,2.1,1.8,1.7
Cvitanich,1.3,1.5,1.4,1.3,1.5,1.7,1.6,1.7,2,1.8,1.6
de Jong,1.4,63.1,29.4,34.2,49,63.1,63.8,50.1,57.6,96.2,70
Zeeuw,1.4,71.4,86.3,79.3,68.7,67.4,60.3,54.7,61.5,53.9,53.5
El Hamdaoui,1.3,15,5.1,5.4,10.8,19.1,20.4,20,37.9,45.6,53.4
Verhoeven,84.2,1.5,1.4,1.3,1.5,1.7,1.6,1.7,2,1.8,1.6
Alderweireld,1.4,52.8,98.1,89,64.9,58.6,46,56.3,23,13,8.9
Blind,1.4,19.2,6.1,6.3,12.9,11.6,7.3,8.6,8.6,4.9,5.3
Zeegelaar,1.3,1.5,1.4,1.3,1.5,1.7,1.6,1.7,2,1.8,1.6
Ooijer,1.3,1.5,1.4,1.3,1.5,1.7,1.6,1.7,2,1.8,1.6
Wiel,1.4,93.6,93,87.6,88.2,60.6,75.7,63.9,52.8,53.8,26
Boilesen,1.3,1.5,1.4,1.3,1.5,1.7,1.6,1.7,2,1.8,1.6
Lukoki,1.3,1.5,1.4,1.3,1.5,1.7,1.6,1.7,2,1.8,1.6
Deckers,1.3,1.5,1.4,1.3,1.5,1.7,1.6,1.7,2,1.8,1.6
Anita,1.4,74.1,86.3,77.9,69.6,37.6,33.8,33.7,12.7,10.7,7.7
Enoh,1.4,36.9,79.7,69.9,36.2,27.8,26.5,18.4,7.2,9.2,3.5
Eriksen,1.4,83.4,69.9,66.4,67.5,89,97.3,75.7,107.5,115.2,85.5
Ozbiliz,1.3,2.5,1.4,1.4,2.1,2,2.2,2.2,4,4.4,4.7
Steekelenburg,100.9,4.1,13.3,9.9,5.6,4.2,4.6,4.3,4.4,2.8,2.2
Suarez,1.3,5.5,2.2,2.3,4.2,9.5,8.3,8.6,39.8,37.4,42.3
Sulejmani,1.4,68.9,29.9,34.9,55,73.2,72.9,66.8,109,106.2,91.2
Tainio,1.3,1.5,1.4,1.3,1.5,1.7,1.6,1.7,2,1.8,1.6
H. Hussein,1.3,1.5,1.4,1.3,1.5,1.7,1.6,1.7,2,1.8,1.6
Ebecilio,1.3,15.8,7.4,8.4,11.6,17.2,23.8,17.4,37,65.7,55.2
Castillion,1.3,1.5,1.4,1.3,1.5,1.7,1.6,1.7,2,1.8,1.6
