Player,Short pass back,Short pass forward,Short pass wide,Long pass back,Long pass forward,Long pass wide,Cross,Heading,Finishing,Long shot,Dribbles,Reception,Interceptions,Goalkeeping,Goal kick,Set pieces,Short pass,Long Passes,Pressing
GK,0,.03,0,0,.11,0,0,0,0,0,0,0,0,6.77,6.56,0,0,.07,0
DR,.84,1.21,1.22,.77,.47,.59,1.84,.79,0,.23,.59,.37,1.94,0,0,.25,1.74,.74,.04
DCR,.04,1.80,1.62,.04,1.04,2.55,.07,1.42,0,0,.29,0,.75,0,0,.05,2.03,2.18,.06
DCL,0,1.87,1.73,0,1.01,1.81,.04,1.52,0,.04,.37,.03,.88,0,0,.05,2.05,1.86,.19
DL,.37,.91,.67,.43,.93,.45,.74,.50,.20,.14,.90,0,1.57,0,0,.27,1.11,.61,.25
MCR,.96,.69,.72,1.33,.39,.53,.32,.64,.62,1.03,.58,.67,1.33,0,0,.45,1.03,.58,.25
MC,.35,.91,1.04,.61,.13,.62,.03,.76,.35,.35,.53,.76,.26,0,0,.31,1.48,.68,.93
MCL,.78,.33,.40,.86,.55,.26,.19,.27,.43,.58,1.08,.20,.84,0,0,.63,.55,.27,.50
FR,1.59,.20,.26,.79,.07,.16,1.69,.22,1.14,1.44,.32,1.79,.44,0,0,2.06,.44,.18,.95
FC,.73,.38,.56,.30,0,.23,.39,.86,1.20,.62,.04,1.99,0,0,0,.16,.89,.34,2.30
FL,1.08,.04,.05,.39,.17,0,1.54,.04,2.13,1.13,.65,.81,.26,0,0,.64,.08,0,1.74
